,files
23,"['ensure', 'social', 'protection', 'poor', 'vulnerable', 'increase', 'access', 'basic', 'service', 'support', 'harmed', 'climate', 'related', 'extreme', 'event', 'economic', 'social', 'environmental', 'shock', 'disaster', 'international', 'poverty', 'currently', 'defined', 'united', 'state', 'dollar', 'purchasing', 'power', 'parity', 'decade', 'beginning', 'proportion', 'world', 'population', 'living', 'poverty', 'dropped', 'growth', 'rate', 'prevail', 'global', 'extreme', 'poverty', 'rate', 'fall', 'assuming', 'growth', 'benefit', 'income', 'group', 'population', 'equally', 'growth', 'rate', 'longer', 'period', 'prevail', 'global', 'poverty', 'rate', 'social_protection', 'poor_vulnerable', 'basic_service', 'climate_related', 'social_environmental', 'united_state', 'world_population', 'growth_rate', 'extreme_poverty', 'growth_rate']"
24,"['world', 'worker', 'living', 'family', 'young', 'especially', 'working', 'poor', 'employed', 'youth', 'aged', 'considered', 'working', 'poor', 'compared', 'adult', 'expanding', 'social', 'protection', 'programme', 'targeting', 'appropriate', 'scheme', 'poor', 'vulnerable', 'reduce', 'poverty', 'social', 'protection', 'programme', 'include', 'social', 'assistance', 'transfer', 'school', 'feeding', 'targeted', 'food', 'assistance', 'social', 'insurance', 'labour', 'market', 'programme', 'including', 'pension', 'disability', 'pension', 'unemployment', 'insurance', 'skill', 'training', 'wage', 'subsidy', 'social', 'protection', 'expanded', 'globally', 'developing', 'country', 'adopted', 'policy', 'afford', 'protection', 'multiple', 'contingency', 'worker_living', 'working_poor', 'youth_aged', 'working_poor', 'social_protection', 'poor_vulnerable', 'social_protection', 'labour_market', 'social_protection', 'developing_country']"
25,"['retirement', 'received', 'pension', 'according', 'available', 'period', 'country', 'child', 'maternity', 'benefit', 'programme', 'transfer', 'scheme', 'increasing', 'despite', 'progress', 'past', 'decade', 'increasing', 'social', 'protection', 'need', 'remains', 'priority', 'globally', 'child', 'poverty', 'related', 'cause', 'employed', 'woman', 'effectively', 'protected', 'contributory', 'contributory', 'maternity', 'benefit', 'poor', 'remain', 'outside', 'social', 'protection', 'especially', 'income', 'country', 'entire', 'population', 'receive', 'type', 'social', 'protection', 'income', 'country', 'compared', 'upper', 'middle', 'income', 'country', 'coverage', 'particularly', 'acute', 'saharan', 'africa', 'southern', 'asia', 'world', 'poorest', 'live', 'maternity_benefit', 'despite_progress', 'past_decade', 'social_protection', 'maternity_benefit', 'social_protection', 'social_protection', 'middle_income', 'saharan_africa', 'southern_asia']"
26,"['disaster', 'risk', 'reduction', 'essential', 'ending', 'poverty', 'fostering', 'sustainable', 'development', 'disaster', 'risk', 'higher', 'poorer', 'country', 'weaker', 'institution', 'middle', 'income', 'country', 'experiencing', 'rapid', 'economic', 'growth', 'exposure', 'asset', 'natural', 'hazard', 'increasing', 'faster', 'pace', 'risk', 'reducing', 'capacity', 'strengthened', 'leading', 'disaster', 'risk', 'economic', 'loss', 'internationally', 'reported', 'disaster', 'principally', 'large', 'scale', 'disaster', 'grown', 'steadily', 'reaching', 'estimated', 'annual', 'reported', 'damage', 'housing', 'school', 'health', 'care', 'facility', 'agricultural', 'production', 'statistically', 'significant', 'upward', 'trend', 'onwards', 'despite', 'fact', 'global', 'poverty', 'rate', 'halved', 'intensified', 'effort', 'required', 'boost', 'income', 'alleviate', 'suffering', 'build', 'resilience', 'individual', 'living', 'extreme', 'poverty', 'particular', 'saharan', 'africa', 'disaster_risk', 'ending_poverty', 'sustainable_development', 'disaster_risk', 'middle_income', 'economic_growth', 'disaster_risk', 'economic_loss', 'internationally_reported', 'health_care', 'build_resilience', 'living_extreme', 'saharan_africa']"
27,"['estimated', 'lived', 'international', 'poverty', 'figure', 'reflects', 'decrease', 'global', 'poverty', 'rate', 'significant', 'progress', 'seen', 'eastern', 'southeastern', 'asia', 'rate', 'declined', 'contrast', 'saharan', 'africa', 'continued', 'subsist', 'condition', 'extreme', 'poverty', 'world', 'worker', 'living', 'family', 'developed', 'country', 'nearly', 'worker', 'living', 'poverty', 'social', 'protection', 'fundamental', 'preventing', 'reducing', 'poverty', 'inequality', 'stage', 'life', 'benefit', 'child', 'mother', 'newborn', 'disability', 'older', 'poor', 'saharan_africa', 'extreme_poverty', 'worker_living', 'developed_country', 'worker_living', 'social_protection']"
28,"['retirement', 'received', 'pension', 'global', 'mask', 'large', 'regional', 'difference', 'oceania', 'excluding', 'australia', 'zealand', 'saharan', 'africa', 'respectively', 'retirement', 'received', 'pension', 'vulnerable', 'group', 'lack', 'social', 'protection', 'severe', 'disability', 'collected', 'disability', 'benefit', 'unemployed', 'individual', 'worldwide', 'received', 'unemployment', 'benefit', 'woman', 'giving', 'received', 'maternity', 'benefit', 'building', 'resilience', 'poor', 'strengthening', 'disaster', 'risk', 'reduction', 'core', 'development', 'strategy', 'ending', 'extreme', 'poverty', 'afflicted', 'country', 'economic', 'loss', 'disaster', 'reaching', 'oceania_excluding', 'australia_zealand', 'saharan_africa', 'social_protection', 'maternity_benefit', 'disaster_risk', 'extreme_poverty', 'economic_loss']"
29,"['relation', 'size', 'economy', 'island', 'developing', 'state', 'borne', 'impact', 'extreme', 'poverty', 'eased', 'considerably', 'pocket', 'worst', 'poverty', 'persist', 'ending', 'poverty', 'requires', 'universal', 'social', 'protection', 'aimed', 'safeguarding', 'individual', 'life', 'cycle', 'requires', 'targeted', 'measure', 'reduce', 'vulnerability', 'disaster', 'address', 'specific', 'underserved', 'geographic', 'area', 'country', 'rate', 'extreme', 'poverty', 'fallen', 'rapidly', 'value', 'latest', 'global', 'estimate', 'suggests', 'world', 'population', 'lived', 'extreme', 'poverty', 'threshold', 'proportion', 'world', 'worker', 'living', 'family', 'declined', 'significantly', 'past', 'decade', 'falling', 'island_developing', 'extreme_poverty', 'ending_poverty', 'social_protection', 'life_cycle', 'vulnerability_disaster', 'extreme_poverty', 'world_population', 'lived_extreme', 'worker_living', 'past_decade']"
30,"['based', 'estimate', 'world', 'population', 'effectively', 'covered', 'social', 'protection', 'benefit', 'economic', 'loss', 'attributed', 'disaster', 'estimated', 'highest', 'loss', 'recent', 'owing', 'major', 'hurricane', 'affecting', 'united', 'state', 'america', 'country', 'caribbean', 'decline', 'global', 'extreme', 'poverty', 'continues', 'slowed', 'deceleration', 'indicates', 'world', 'track', 'achieve', 'target', 'world', 'living', 'extreme', 'poverty', 'continue', 'live', 'extreme', 'poverty', 'face', 'deep', 'entrenched', 'deprivation', 'exacerbated', 'violent', 'conflict', 'vulnerability', 'disaster', 'strong', 'social', 'protection', 'government', 'spending', 'service', 'help', 'left', 'foot', 'escape', 'poverty', 'service', 'need', 'brought', 'scale', 'world_population', 'social_protection', 'economic_loss', 'united_state', 'extreme_poverty', 'living_extreme', 'extreme_poverty', 'vulnerability_disaster', 'social_protection', 'government_spending']"
31,"['pace', 'poverty', 'reduction', 'decelerating', 'nowcast', 'baseline', 'projection', 'suggest', 'world', 'population', 'living', 'extreme', 'poverty', 'missing', 'target', 'ending', 'poverty', 'despite', 'having', 'world', 'worker', 'family', 'lived', 'extreme', 'poverty', 'situation', 'remains', 'particularly', 'alarming', 'saharan', 'africa', 'working', 'poor', 'stood', 'social', 'protection', 'help', 'prevent', 'reduce', 'poverty', 'provide', 'safety', 'vulnerable', 'social', 'protection', 'reality', 'large', 'majority', 'world', 'population', 'covered', 'social', 'protection', 'benefit', 'large', 'variation', 'region', 'coverage', 'saharan', 'africa', 'europe', 'northern', 'america', 'poverty_reduction', 'world_population', 'living_extreme', 'ending_poverty', 'lived_extreme', 'saharan_africa', 'working_poor', 'social_protection', 'social_protection', 'world_population', 'social_protection', 'saharan_africa', 'europe_northern']"
32,"['disaster', 'lead', 'downturn', 'trajectory', 'socioeconomic', 'development', 'exacerbate', 'poverty', 'direct', 'economic', 'loss', 'disaster', 'estimated', 'trillion', 'climate', 'related', 'disaster', 'accounted', 'rise', 'compared', 'period', 'climate', 'related', 'geophysical', 'disaster', 'claimed', 'estimated', 'life', 'death', 'reported', 'internationally', 'disaster', 'event', 'middle', 'income', 'country', 'economic', 'loss', 'disaster', 'percentage', 'gross', 'domestic', 'product', 'higher', 'country', 'country', 'reported', 'progress', 'development', 'implementation', 'national', 'local', 'disaster', 'risk', 'reduction', 'strategy', 'sendai', 'framework', 'disaster', 'risk', 'reduction', 'march', 'country', 'reported', 'progress', 'alignment', 'country', 'reported', 'respective', 'local', 'government', 'developed', 'local', 'strategy', 'consistent', 'national', 'strategy', 'plan', 'direct_economic', 'estimated_trillion', 'climate_related', 'climate_related', 'middle_income', 'economic_loss', 'gross_domestic', 'national_local', 'disaster_risk', 'reduction_strategy', 'sendai_framework', 'disaster_risk', 'local_government']"
